site_number,site_name,avg_max_temp,avg_min_temp,avg_mean_temp,Latitude,Longitude,Elevation,Koppen_Classification
31011,CAIRNS AERO,29,20,25,-16.87,145.75,2,Tropical rainforest (monsoonal)
18012,CEDUNA AMO,23,10,17,-32.13,133.7,15,"Grassland (warm, summer drought)"
30124,GEORGETOWN AIRPORT,32,18,25,-18.3,143.53,302,Tropical savanna
52088,WALGETT AIRPORT AWS,27,11,19,-30.04,148.12,133,"Grassland (hot, persistently dry)"
86338,MELBOURNE (OLYMPIC PARK),19,11,15,-37.83,144.98,8,"Temperate (no dry season, warm summer)"
48245,BOURKE AIRPORT AWS,28,13,20,-30.04,145.95,107,"Grassland (hot, persistently dry)"
84145,ORBOST,20,10,15,-37.69,148.47,63,"Temperate (no dry season, warm summer)"
40004,AMBERLEY AMO,27,12,20,-27.63,152.71,24,Subtropical (no dry season)
6011,CARNARVON AIRPORT,28,17,22,-24.89,113.67,4,"Desert (hot, summer drought)"
27058,HORN ISLAND,30,24,27,-10.58,142.29,4,Equatorial savanna
90015,CAPE OTWAY LIGHTHOUSE,17,11,14,-38.86,143.51,82,"Temperate (no dry season, warm summer)"
36007,BARCALDINE POST OFFICE,30,17,24,-23.55,145.29,267,"Grassland (hot, persistently dry)"
32040,TOWNSVILLE AERO,29,20,25,-19.25,146.77,4,Tropical savanna
30161,RICHMOND AIRPORT,33,16,25,-20.7,143.11,206,"Grassland (hot, winter drought)"
37010,CAMOOWEAL TOWNSHIP,33,17,25,-19.92,138.12,231,"Desert (hot, winter drought)"
42112,MILES CONSTANCE STREET,27,12,20,-26.66,150.18,305,Subtropical (no dry season)
33119,MACKAY M.O,26,19,22,-21.12,149.22,30,Subtropical (distinctly dry winter)
5098,KARIJINI NORTH,33,19,26,-22.3,118.45,474,"Grassland (hot, persistently dry)"
72161,CABRAMURRA SMHEA AWS,12,5,8,-35.94,148.38,1482,"Temperate (no dry season, mild summer)"
3003,BROOME AIRPORT,32,22,27,-17.95,122.24,7,"Grassland (hot, winter drought)"
38026,BIRDSVILLE AIRPORT,31,16,24,-25.9,139.35,47,"Desert (hot, persistently dry)"
94029,HOBART (ELLERSLIE ROAD),17,9,13,-42.89,147.33,51,"Temperate (no dry season, mild summer)"
82039,RUTHERGLEN RESEARCH,21,6,14,-36.1,146.51,175,"Temperate (no dry season, hot summer)"
10916,KATANNING,22,9,15,-33.69,117.61,320,Temperate (distinctly dry and warm summer)
9518,CAPE LEEUWIN,20,14,17,-34.37,115.14,13,Temperate (distinctly dry and warm summer)
85072,EAST SALE,20,8,14,-38.12,147.13,5,"Temperate (no dry season, warm summer)"
15135,TENNANT CREEK AIRPORT,32,20,26,-19.64,134.18,376,"Grassland (hot, winter drought)"
92045,LARAPUNA (EDDYSTONE POINT),18,10,14,-40.99,148.35,20,"Temperate (no dry season, mild summer)"
80023,KERANG,23,9,16,-35.72,143.92,82,"Grassland (warm, persistently dry)"
39083,ROCKHAMPTON AERO,29,16,23,-23.38,150.48,10,Subtropical (moderately dry winter)
43109,ST GEORGE AIRPORT,27,13,20,-28.05,148.6,199,"Grassland (hot, persistently dry)"
85096,WILSONS PROMONTORY LIGHTHOUSE,16,12,14,-39.13,146.42,95,"Temperate (no dry season, warm summer)"
10917,WANDERING,23,8,15,-32.67,116.67,275,Temperate (distinctly dry and hot summer)
12038,KALGOORLIE-BOULDER AIRPORT,25,12,18,-30.78,121.45,365,"Desert (hot, persistently dry)"
15590,ALICE SPRINGS AIRPORT,29,12,20,-23.8,133.89,546,"Grassland (hot, persistently dry)"
9021,PERTH AIRPORT,24,12,18,-31.93,115.98,15,Subtropical (distinctly dry summer)
28004,PALMERVILLE,33,18,25,-16.0,144.08,204,Tropical savanna
60168,PORT MACQUARIE AIRPORT AWS,23,11,17,-31.43,152.87,4,"Temperate (no dry season, hot summer)"
74258,DENILIQUIN AIRPORT AWS,23,9,16,-35.56,144.95,94,"Grassland (warm, persistently dry)"
23000,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),22,12,17,-34.93,138.58,29,Temperate (distinctly dry and hot summer)
21133,RAYVILLE PARK,23,9,16,-33.77,138.22,109,Temperate (distinctly dry and hot summer)
11052,FORREST,26,10,18,-30.85,128.11,159,"Desert (warm, persistently dry)"
53115,MOREE AERO,27,12,19,-29.49,149.85,213,Subtropical (moderately dry winter)
46012,WILCANNIA AERODROME AWS,26,11,19,-31.52,143.39,94,"Grassland (hot, persistently dry)"
11003,EUCLA,22,12,17,-31.68,128.9,93,"Grassland (warm, persistently dry)"
36031,LONGREACH AERO,31,15,23,-23.44,144.28,192,"Grassland (hot, persistently dry)"
7045,MEEKATHARRA AIRPORT,29,16,22,-26.61,118.54,517,"Grassland (hot, summer drought)"
70351,CANBERRA AIRPORT,19,6,12,-35.31,149.2,577,"Temperate (no dry season, warm summer)"
4032,PORT HEDLAND AIRPORT,33,19,26,-20.37,118.63,6,"Desert (hot, persistently dry)"
9617,BRIDGETOWN,22,8,15,-33.95,116.13,179,Temperate (distinctly dry and warm summer)
94220,GROVE (RESEARCH STATION),18,5,11,-42.98,147.08,65,"Temperate (no dry season, mild summer)"
78015,NHILL AERODROME,21,8,15,-36.31,141.65,139,"Grassland (warm, persistently dry)"
2079,HALLS CREEK AIRPORT,33,19,26,-18.23,127.67,409,"Grassland (hot, winter drought)"
